name,category,is_truck,is_mobile,company_number,status,phone,email,website,address,postcode,region,verified,source
ACTIVE MOBILE TYRE LTD,Mobile Tyre (General),No,Yes,13499342,active,,,,"54 Park Chase, Wembley, Middlesex, HA9 8EH",HA9 8EH,Middlesex,Yes,Companies House (mobile truck tyre)
ADE MOBILE TYRES LTD,Mobile Tyre (General),No,Yes,16313171,active,,,,"24 Anson Green, Newport, Gwent, NP19 9GN",NP19 9GN,Gwent,Yes,Companies House (mobile tyres)
AFFORDABLE MOBILE TYRES LTD,Mobile Tyre (General),No,Yes,16302488,active,,,,"101 Prebendal Avenue, Aylesbury, HP21 8LB",HP21 8LB,,Yes,Companies House (mobile tyres)
AI MOBILE TYRES LTD,Mobile Tyre (General),No,Yes,16762161,active,,,,"111a Burnt Oak Broadway, Edgware, HA8 5EN",HA8 5EN,,Yes,Companies House (mobile tyres)
AJM MOBILE TYRES & VEHICLE REPAIRS LTD,Mobile Tyre (General),No,Yes,15633206,active,,,,"28 Witch Elm, Harwich, CO12 4UB",CO12 4UB,,Yes,Companies House (mobile tyres)
AJR MOBILE TYRES LTD,Mobile Tyre (General),No,Yes,16283429,active,,,,"22 Tillycombe Road, Portland, Dorset, DT5 1LG",DT5 1LG,Dorset,Yes,Companies House (mobile tyres)
AKYS TYRES MOBILE TYRE FITTING LTD,Mobile Tyre (General),No,Yes,15798179,active,,,,"Quadrant House, Broad Street Mall, Reading, RG1 7QE",RG1 7QE,South East,Yes,Companies House (mobile tyres)
ALT MOBILE TYRE COMPANY LIMITED,Mobile Tyre (General),No,Yes,16496639,active,,,,"14 Great Park Close, Plymouth, PL7 2GP",PL7 2GP,South West,Yes,Companies House (mobile truck tyre)
AMERSHAM MOBILE TYRE SERVICE LTD,Mobile Tyre (General),No,Yes,13831822,active,,,,"28 Lowfield Way, Hazlemere, High Wycombe, HP15 7RR",HP15 7RR,,Yes,Companies House (mobile truck tyre)
AR MOBILES TYRES LTD,Mobile Tyre (General),No,Yes,16296088,active,,,,"3 Castleford Drive, Prestbury, Macclesfield, SK10 4BG",SK10 4BG,,Yes,Companies House (mobile tyres)
ASAP MOBILE TYRE LTD,Mobile Tyre (General),No,Yes,16329662,active,,,,"126 Wandsworth High Street, London, SW18 4JP",SW18 4JP,London,Yes,Companies House (mobile truck tyre)
ASHTON MOBILE TYRES LTD,Mobile Tyre (General),No,Yes,16109536,active,,,,"37 Hill Street, Ashton-Under-Lyne, Lancashire, OL7 0PZ",OL7 0PZ,Lancashire,Yes,Companies House (mobile tyres)
AUTOMOTIVE MOBILE TYRES LTD,Mobile Tyre (General),No,Yes,16890923,active,,,,"50 High Furlong, Banbury, OX16 1PR",OX16 1PR,,Yes,Companies House (mobile tyres)
AYAZ TYRES MOBILE SERVICE LTD,Mobile Tyre (General),No,Yes,15611342,active,,,,"Ayaz Tyres, 426 Whalebone Lane South, Chadwell Heath, Romford, RM6 6HP",RM6 6HP,Romford,Yes,Companies House (mobile tyres)
